r.num,Epidemic,Duration,
682,802.00,243.00,
683,0.00,4.00,
684,806.00,314.00,
685,0.00,13.50,
686,809.00,221.00,
687,781.00,320.00,
688,815.00,244.50,
689,0.00,13.50,
690,790.00,244.00,
691,800.00,208.00,
692,821.00,186.50,
693,9.00,68.00,
694,783.00,247.50,
695,845.00,303.00,
696,745.00,299.50,
697,810.00,249.00,
698,814.00,225.50,
699,1.00,15.50,
700,1.00,37.00,
701,823.00,242.00,
702,800.00,290.00,
703,805.00,213.50,
704,1.00,21.00,
705,0.00,9.00,
706,809.00,211.50,
707,754.00,284.50,
708,793.00,293.50,
709,1.00,25.50,
710,0.00,14.50,
711,800.00,230.00,
712,823.00,265.00,
713,0.00,8.00,
714,784.00,205.00,
715,783.00,257.00,
716,1.00,13.00,
717,0.00,10.50,
718,2.00,41.50,
719,819.00,261.50,
720,771.00,274.00,
721,824.00,310.00,
722,788.00,260.00,
723,0.00,16.00,
724,0.00,11.50,
725,824.00,257.50,
726,0.00,8.50,
727,0.00,25.00,
728,795.00,239.50,
729,774.00,269.00,
730,4.00,42.50,
731,795.00,225.00,
732,800.00,283.00,
733,740.00,300.00,
734,0.00,23.50,
735,0.00,6.00,
736,788.00,319.50,
737,761.00,279.50,
738,790.00,248.00,
739,2.00,53.50,
740,802.00,274.00,
741,786.00,248.50,
742,824.00,255.00,
743,1.00,37.50,
744,768.00,301.00,
745,793.00,294.00,
746,0.00,11.00,
747,789.00,349.50,
748,0.00,4.00,
749,1.00,11.00,
750,827.00,281.50,
751,1.00,18.50,
752,793.00,294.00,
753,0.00,16.00,
754,811.00,317.50,
755,6.00,79.50,
756,0.00,30.50,
757,791.00,244.50,
758,2.00,17.50,
759,779.00,284.00,
760,804.00,246.00,
761,1.00,23.50,
762,780.00,301.00,
763,785.00,367.50,
764,781.00,230.50,
765,778.00,250.00,
766,0.00,8.00,
767,785.00,242.50,
768,2.00,28.00,
769,799.00,245.00,
770,2.00,28.50,
771,0.00,20.50,
772,804.00,283.00,
773,801.00,279.50,
774,1.00,28.50,
775,770.00,308.00,
776,820.00,366.50,
777,822.00,232.00,
778,800.00,216.00,
779,0.00,9.00,
780,851.00,308.00,
781,0.00,21.50,
782,0.00,20.50,
783,790.00,283.00,
784,0.00,21.00,
785,765.00,200.00,
786,0.00,14.00,
787,0.00,10.00,
788,793.00,327.50,
789,794.00,276.50,
790,803.00,233.00,
791,822.00,303.00,
792,783.00,214.00,
793,781.00,261.50,
794,805.00,201.00,
795,800.00,317.50,
796,799.00,258.50,
797,0.00,6.00,
