r.num,Duration,Epidemic,Rt,
521,255.50,745.00,0.51,
522,6.00,0.00,2.00,
523,272.50,872.00,0.26,
524,322.25,759.00,0.48,
525,260.50,798.00,0.40,
526,12.00,0.00,2.00,
527,29.50,0.00,2.00,
528,243.25,796.00,0.41,
529,217.50,806.00,0.39,
530,13.00,0.00,2.00,
531,241.00,840.00,0.32,
532,279.25,844.00,0.31,
533,9.00,1.00,2.00,
534,38.75,3.00,1.99,
535,17.75,1.00,2.00,
536,196.25,785.00,0.43,
537,334.50,845.00,0.31,
538,5.75,0.00,2.00,
539,266.00,791.00,0.42,
540,219.50,791.00,0.42,
541,254.25,806.00,0.39,
542,7.00,1.00,2.00,
543,8.25,0.00,2.00,
544,16.25,2.00,2.00,
545,12.50,0.00,2.00,
546,1.25,0.00,2.00,
547,322.25,787.00,0.43,
548,2.25,0.00,2.00,
549,14.50,0.00,2.00,
550,351.00,834.00,0.33,
551,5.75,0.00,2.00,
552,9.00,1.00,2.00,
553,59.50,7.00,1.99,
554,6.50,0.00,2.00,
555,283.50,776.00,0.45,
556,10.00,0.00,2.00,
557,3.50,0.00,2.00,
558,267.00,807.00,0.39,
559,25.75,0.00,2.00,
560,269.00,804.00,0.39,
561,12.50,2.00,2.00,
562,234.25,771.00,0.46,
563,268.25,721.00,0.56,
564,22.00,2.00,2.00,
565,0.75,0.00,2.00,
566,309.75,747.00,0.51,
567,248.50,832.00,0.34,
568,269.00,825.00,0.35,
569,9.50,2.00,2.00,
570,25.00,3.00,1.99,
571,18.75,0.00,2.00,
572,215.50,764.00,0.47,
573,1.75,0.00,2.00,
574,3.00,1.00,2.00,
575,193.50,796.00,0.41,
576,223.50,748.00,0.50,
577,233.50,844.00,0.31,
578,1.25,0.00,2.00,
579,223.00,784.00,0.43,
580,1.25,0.00,2.00,
581,1.50,0.00,2.00,
582,4.50,0.00,2.00,
583,1.50,1.00,2.00,
584,8.25,0.00,2.00,
585,213.25,794.00,0.41,
586,3.00,0.00,2.00,
587,212.25,784.00,0.43,
588,280.25,810.00,0.38,
589,5.00,0.00,2.00,
590,22.50,6.00,1.99,
591,218.00,790.00,0.42,
592,320.25,806.00,0.39,
593,4.25,0.00,2.00,
594,311.00,798.00,0.40,
595,7.00,0.00,2.00,
596,274.25,793.00,0.41,
597,3.50,0.00,2.00,
598,259.25,810.00,0.38,
599,205.50,819.00,0.36,
600,6.25,0.00,2.00,
601,197.00,811.00,0.38,
602,27.00,2.00,2.00,
603,222.75,781.00,0.44,
604,195.25,816.00,0.37,
605,242.25,832.00,0.34,
606,327.50,753.00,0.49,
607,198.50,800.00,0.40,
608,4.50,1.00,2.00,
609,4.00,0.00,2.00,
610,8.75,1.00,2.00,
611,18.50,0.00,2.00,
612,7.50,1.00,2.00,
613,1.25,0.00,2.00,
614,323.50,829.00,0.34,
615,255.00,808.00,0.38,
616,279.25,779.00,0.44,
617,254.50,795.00,0.41,
618,205.50,812.00,0.38,
619,236.00,830.00,0.34,
620,1.50,0.00,2.00,
621,266.75,809.00,0.38,
622,188.00,845.00,0.31,
623,1.75,0.00,2.00,
624,276.50,767.00,0.47,
625,6.50,0.00,2.00,
626,335.00,791.00,0.42,
627,2.25,0.00,2.00,
628,304.25,781.00,0.44,
629,267.75,804.00,0.39,
630,347.75,753.00,0.49,
631,56.00,14.00,1.97,
632,296.00,796.00,0.41,
633,11.00,0.00,2.00,
634,238.00,832.00,0.34,
635,9.25,0.00,2.00,
636,241.50,826.00,0.35,
637,4.25,1.00,2.00,
638,272.50,823.00,0.35,
639,210.75,797.00,0.41,
640,229.50,791.00,0.42,
641,3.50,0.00,2.00,
642,3.50,0.00,2.00,
643,0.50,0.00,2.00,
644,242.75,811.00,0.38,
645,219.25,784.00,0.43,
646,226.75,799.00,0.40,
647,6.25,0.00,2.00,
648,261.75,810.00,0.38,
649,29.00,4.00,1.99,
650,1.50,0.00,2.00,
651,2.25,0.00,2.00,
652,14.25,0.00,2.00,
653,241.25,823.00,0.35,
654,262.75,812.00,0.38,
655,16.50,1.00,2.00,
656,239.00,817.00,0.37,
657,202.25,785.00,0.43,
658,264.75,797.00,0.41,
659,236.50,857.00,0.29,
660,13.25,2.00,2.00,
661,245.00,805.00,0.39,
662,218.25,814.00,0.37,
663,193.50,849.00,0.30,
664,6.50,1.00,2.00,
665,291.75,761.00,0.48,
666,3.25,0.00,2.00,
667,5.75,0.00,2.00,
668,231.25,800.00,0.40,
669,15.75,1.00,2.00,
670,252.00,782.00,0.44,
671,268.25,820.00,0.36,
672,271.25,862.00,0.28,
673,13.00,2.00,2.00,
674,232.50,813.00,0.37,
675,230.50,774.00,0.45,
676,230.00,802.00,0.40,
677,206.50,825.00,0.35,
678,195.25,809.00,0.38,
679,5.00,0.00,2.00,
680,5.75,0.00,2.00,
681,45.75,2.00,2.00,
682,302.00,811.00,0.38,
683,30.75,2.00,2.00,
684,8.25,0.00,2.00,
685,4.50,0.00,2.00,
686,4.50,0.00,2.00,
687,215.50,744.00,0.51,
688,118.25,19.00,1.96,
689,313.25,837.00,0.33,
690,24.50,3.00,1.99,
691,3.50,0.00,2.00,
692,19.00,0.00,2.00,
693,300.25,823.00,0.35,
694,232.75,833.00,0.33,
695,0.25,0.00,2.00,
696,11.50,1.00,2.00,
697,23.50,1.00,2.00,
698,5.25,0.00,2.00,
699,224.50,808.00,0.38,
700,2.75,0.00,2.00,
701,213.50,841.00,0.32,
702,288.25,754.00,0.49,
703,5.25,1.00,2.00,
704,0.50,0.00,2.00,
705,203.75,817.00,0.37,
706,281.50,829.00,0.34,
707,29.50,5.00,1.99,
708,9.25,1.00,2.00,
709,2.25,0.00,2.00,
710,293.25,729.00,0.54,
711,274.25,829.00,0.34,
712,1.50,0.00,2.00,
713,0.50,0.00,2.00,
714,252.00,797.00,0.41,
715,5.50,0.00,2.00,
716,205.50,807.00,0.39,
717,2.75,0.00,2.00,
718,222.25,742.00,0.52,
719,266.00,806.00,0.39,
720,8.75,1.00,2.00,
721,17.00,2.00,2.00,
722,48.75,8.00,1.98,
723,224.25,806.00,0.39,
724,238.50,801.00,0.40,
725,2.75,0.00,2.00,
726,24.75,3.00,1.99,
727,3.75,0.00,2.00,
728,269.75,818.00,0.36,
729,1.25,0.00,2.00,
730,255.75,831.00,0.34,
731,286.25,807.00,0.39,
732,8.25,0.00,2.00,
733,13.75,2.00,2.00,
734,267.25,824.00,0.35,
735,9.25,0.00,2.00,
736,1.25,0.00,2.00,
737,11.25,3.00,1.99,
738,1.25,0.00,2.00,
739,199.00,797.00,0.41,
740,229.75,808.00,0.38,
741,371.25,788.00,0.42,
742,2.00,0.00,2.00,
743,228.75,772.00,0.46,
744,11.25,1.00,2.00,
745,223.25,797.00,0.41,
746,0.75,0.00,2.00,
747,2.25,0.00,2.00,
748,268.25,807.00,0.39,
749,6.00,0.00,2.00,
750,4.75,0.00,2.00,
751,283.25,748.00,0.50,
752,0.75,0.00,2.00,
753,278.00,675.00,0.65,
754,227.50,804.00,0.39,
755,217.00,809.00,0.38,
756,291.75,811.00,0.38,
757,265.00,786.00,0.43,
758,1.25,0.00,2.00,
759,254.00,809.00,0.38,
760,249.25,808.00,0.38,
761,3.75,0.00,2.00,
762,204.75,791.00,0.42,
763,322.50,824.00,0.35,
764,181.50,803.00,0.39,
765,0.25,0.00,2.00,
766,2.25,0.00,2.00,
767,3.00,0.00,2.00,
768,247.75,817.00,0.37,
769,3.00,0.00,2.00,
770,6.00,0.00,2.00,
771,232.25,756.00,0.49,
772,234.50,817.00,0.37,
773,273.50,805.00,0.39,
774,266.75,762.00,0.48,
775,4.50,0.00,2.00,
776,224.25,811.00,0.38,
777,202.00,788.00,0.42,
778,5.75,0.00,2.00,
779,0.25,0.00,2.00,
780,13.75,0.00,2.00,
