r.num,Duration,Epidemic,Rt,ep_high,ep_low,
8486,246.25,696.00,0.44,435.00,261.00,
8487,63.25,14.00,1.91,8.00,6.00,
8488,254.25,688.00,0.43,454.00,234.00,
8489,266.75,683.00,0.42,447.00,236.00,
8490,222.25,729.00,0.39,464.00,265.00,
8491,307.75,642.00,0.51,425.00,217.00,
8492,9.25,1.00,2.04,1.00,0.00,
8493,28.00,2.00,2.02,1.00,1.00,
8494,301.50,674.00,0.47,435.00,239.00,
8495,239.00,658.00,0.48,396.00,262.00,
8496,43.00,1.00,1.97,1.00,0.00,
8497,300.75,662.00,0.50,423.00,239.00,
8498,261.00,666.00,0.47,430.00,236.00,
8499,225.75,685.00,0.44,440.00,245.00,
8500,244.00,674.00,0.44,417.00,257.00,
8501,351.75,690.00,0.43,457.00,233.00,
8502,240.75,677.00,0.46,421.00,256.00,
8503,235.50,685.00,0.45,415.00,270.00,
8504,19.00,0.00,1.99,0.00,0.00,
8505,221.50,658.00,0.50,421.00,237.00,
8506,268.25,693.00,0.43,430.00,263.00,
8507,226.75,646.00,0.51,434.00,212.00,
8508,287.75,615.00,0.56,383.00,232.00,
8509,255.50,721.00,0.39,451.00,270.00,
8510,338.25,647.00,0.51,414.00,233.00,
8511,69.25,7.00,2.01,5.00,2.00,
8512,65.50,1.00,2.01,1.00,0.00,
8513,294.75,673.00,0.49,413.00,260.00,
8514,256.00,679.00,0.46,440.00,239.00,
8515,246.75,666.00,0.47,426.00,240.00,
8516,195.75,697.00,0.43,448.00,249.00,
8517,261.75,733.00,0.38,462.00,271.00,
8518,53.25,10.00,2.02,9.00,1.00,
8519,250.50,681.00,0.46,434.00,247.00,
8520,27.75,1.00,1.98,0.00,1.00,
8521,193.25,724.00,0.39,468.00,256.00,
8522,222.75,678.00,0.45,423.00,255.00,
8523,231.25,646.00,0.52,428.00,218.00,
8524,239.75,659.00,0.46,437.00,222.00,
8525,24.00,2.00,2.02,1.00,1.00,
8526,17.00,2.00,2.01,2.00,0.00,
8527,233.50,635.00,0.53,412.00,223.00,
8528,309.50,718.00,0.37,465.00,253.00,
8529,14.25,0.00,2.01,0.00,0.00,
8530,34.25,8.00,2.05,6.00,2.00,
8531,13.00,0.00,2.04,0.00,0.00,
8532,224.50,693.00,0.45,451.00,242.00,
8533,230.50,710.00,0.42,463.00,247.00,
8534,412.25,595.00,0.59,401.00,194.00,
8535,13.50,0.00,2.01,0.00,0.00,
8536,224.75,682.00,0.47,432.00,250.00,
8537,265.00,692.00,0.44,447.00,245.00,
8538,329.50,648.00,0.48,413.00,235.00,
8539,268.00,744.00,0.36,457.00,287.00,
8540,248.25,673.00,0.46,436.00,237.00,
8541,289.00,670.00,0.48,435.00,235.00,
8542,8.75,0.00,1.98,0.00,0.00,
8543,23.25,2.00,1.99,2.00,0.00,
8544,269.50,683.00,0.43,436.00,247.00,
8545,259.00,738.00,0.36,460.00,278.00,
8546,11.50,0.00,2.08,0.00,0.00,
8547,308.25,692.00,0.44,436.00,256.00,
8548,12.25,0.00,1.95,0.00,0.00,
8549,46.00,3.00,2.00,3.00,0.00,
8550,9.25,0.00,2.01,0.00,0.00,
8551,234.50,656.00,0.48,424.00,232.00,
8552,235.25,651.00,0.51,426.00,225.00,
8553,21.25,1.00,2.02,1.00,0.00,
8554,252.25,649.00,0.51,416.00,233.00,
8555,20.75,0.00,1.98,0.00,0.00,
8556,329.00,693.00,0.43,439.00,254.00,
8557,10.50,0.00,1.98,0.00,0.00,
8558,241.25,705.00,0.42,453.00,252.00,
8559,239.75,662.00,0.48,435.00,227.00,
8560,270.50,683.00,0.45,441.00,242.00,
8561,281.25,658.00,0.49,401.00,257.00,
8562,344.75,636.00,0.54,407.00,229.00,
8563,14.75,0.00,2.00,0.00,0.00,
8564,233.75,720.00,0.38,460.00,260.00,
8565,84.50,12.00,1.93,9.00,3.00,
8566,11.00,0.00,2.00,0.00,0.00,
8567,254.00,643.00,0.52,439.00,204.00,
8568,40.25,7.00,1.95,5.00,2.00,
8569,257.00,679.00,0.45,419.00,260.00,
8570,314.00,673.00,0.47,423.00,250.00,
8571,210.00,658.00,0.49,425.00,233.00,
