,Duration,Epidemic,ep_high,ep_low,Rt
1887,6,0,0,0,2
1888,312.75,721,454,267,0.371
1889,270.5,685,436,249,0.443
1890,261.25,693,426,267,0.455
1891,22.25,1,1,0,1.997
1892,11.25,0,0,0,2
1893,279.75,659,426,233,0.489
1894,317.5,726,448,278,0.378
1895,21.5,0,0,0,2
1896,228.25,738,449,289,0.364
1897,259.5,698,445,253,0.412
1898,19.5,0,0,0,2
1899,257.75,680,441,239,0.438
1900,11.5,0,0,0,2
1901,278.25,682,436,246,0.446
1902,320.25,701,445,256,0.409
1903,193,681,426,255,0.467
1904,293.75,705,451,254,0.393
1905,241.5,673,434,239,0.459
1906,17,1,1,0,1.997
1907,28.25,2,1,1,1.996
1908,326,675,431,244,0.463
1909,276,672,437,235,0.454
1910,238.25,719,437,282,0.407
1911,45.5,4,2,2,1.992
1912,294.75,656,425,231,0.494
1913,247.75,680,433,247,0.454
1914,276.25,671,439,232,0.451
1915,279.75,717,456,261,0.371
1916,28,1,1,0,1.997
1917,80.25,2,2,0,1.994
1918,223.75,688,438,250,0.436
1919,318.5,662,435,227,0.468
1920,219.25,709,445,264,0.401
1921,285,668,433,235,0.466
1922,25.25,1,1,0,1.997
1923,274.25,697,448,249,0.407
1924,326.5,638,435,203,0.492
1925,21.75,0,0,0,2
1926,251.75,613,403,210,0.581
1927,19,0,0,0,2
1928,261.75,645,423,222,0.509
1929,17.5,0,0,0,2
1930,304.75,665,435,230,0.465
1931,266,639,414,225,0.533
1932,363.5,729,457,272,0.357
1933,243.5,686,434,252,0.446
1934,392.75,684,437,247,0.442
1935,38.5,8,8,0,1.976
1936,257.25,680,443,237,0.434
1937,5.5,0,0,0,2
1938,318.5,697,438,259,0.427
1939,51.5,2,1,1,1.996
1940,243,722,446,276,0.386
1941,280.25,723,448,275,0.381
1942,6.5,0,0,0,2
1943,10.75,0,0,0,2
1944,234.75,698,447,251,0.408
1945,203.75,694,446,248,0.414
1946,26.25,0,0,0,2
1947,263.5,671,435,236,0.459
1948,287.5,720,456,264,0.368
1949,279.5,669,438,231,0.455
1950,316,669,433,236,0.465
1951,8.5,0,0,0,2
1952,237,698,441,257,0.42
1953,206.75,681,437,244,0.445
1954,326.75,675,431,244,0.463
1955,334.75,707,443,264,0.407
1956,23,0,0,0,2
1957,245,689,455,234,0.401
1958,272.75,721,433,288,0.413
1959,256.25,681,428,253,0.463
1960,313.5,678,431,247,0.46
1961,68,5,3,2,1.989
1962,287.5,645,432,213,0.491
1963,307.5,697,438,259,0.427
1964,290.75,695,444,251,0.417
1965,249.5,674,431,243,0.464
1966,269.25,621,406,215,0.567
1967,12.25,0,0,0,2
1968,240.25,665,419,246,0.497
1969,15.75,0,0,0,2
1970,265.5,676,429,247,0.466
1971,326.5,672,426,246,0.476
1972,270.75,694,433,261,0.44
1973,24.75,0,0,0,2
1974,18,0,0,0,2
1975,271.75,721,451,270,0.377
1976,10,0,0,0,2
1977,37,1,1,0,1.997
1978,51.75,1,0,1,1.999
1979,10,0,0,0,2
1980,322.5,687,427,260,0.459
1981,227.25,692,432,260,0.444
1982,6.25,0,0,0,2
1983,19.5,1,1,0,1.997
1984,284.5,705,448,257,0.399
1985,253,690,444,246,0.422
1986,268.5,698,441,257,0.42
1987,231.25,697,442,255,0.419
1988,5.75,0,0,0,2
1989,234,688,443,245,0.426
1990,5.25,0,0,0,2
1991,263.75,645,416,229,0.523
1992,268.25,673,433,240,0.461
1993,258.75,723,460,263,0.357
1994,234,725,441,284,0.393
1995,215,678,440,238,0.442
1996,65,3,2,1,1.993
1997,9,0,0,0,2
1998,12.5,0,0,0,2
1999,7.75,0,0,0,2
2000,365,681,430,251,0.459
2001,321,707,447,260,0.399
2002,266.75,671,427,244,0.475
2003,8.5,0,0,0,2
2004,10.5,0,0,0,2
2005,17.75,0,0,0,2
2006,276,674,435,239,0.456
2007,10.5,0,0,0,2
2008,213,712,448,264,0.392
2009,41,3,2,1,1.993
2010,246.5,673,432,241,0.463
2011,315.75,638,418,220,0.526
2012,293.5,652,422,230,0.504
2013,32.75,1,1,0,1.997
2014,257.5,647,423,224,0.507
2015,29.75,0,0,0,2
2016,254.75,653,416,237,0.515
2017,66.25,2,2,0,1.994
2018,226.75,655,419,236,0.507
2019,261.75,662,433,229,0.472
2020,221.75,669,431,238,0.469
2021,4.5,0,0,0,2
2022,10.75,0,0,0,2
2023,8.75,0,0,0,2
2024,246,671,435,236,0.459
2025,271.25,656,424,232,0.496
2026,217.5,685,440,245,0.435
2027,237.5,720,449,271,0.382
2028,201,685,438,247,0.439
2029,67,4,3,1,1.99
2030,209.5,701,443,258,0.413
2031,295,660,436,224,0.468
2032,250.75,641,412,229,0.535
2033,249.5,711,444,267,0.401
2034,247,676,436,240,0.452
2035,317,688,434,254,0.444
2036,7.75,0,0,0,2
2037,232.5,701,456,245,0.387
2038,15,0,0,0,2
2039,291.25,686,437,249,0.44
2040,40,3,2,1,1.993
2041,8.25,0,0,0,2
2042,44.75,2,2,0,1.994
2043,22.75,0,0,0,2
2044,272.5,631,420,211,0.529
2045,10.5,0,0,0,2
2046,16.75,1,1,0,1.997
2047,30.75,2,1,1,1.996
2048,11.25,0,0,0,2
2049,6,0,0,0,2
2050,313.25,669,434,235,0.463
2051,331,614,404,210,0.578
2052,12,0,0,0,2
2053,35,3,2,1,1.993
2054,250.75,693,441,252,0.425
2055,285.25,681,446,235,0.427
2056,307,618,410,208,0.562
2057,243.25,743,466,277,0.325
2058,258,692,438,254,0.432
2059,88.5,19,15,4,1.951
2060,246.25,670,429,241,0.472
2061,259.75,690,441,249,0.428
2062,248.25,677,434,243,0.455
2063,17.5,0,0,0,2
2064,13.75,0,0,0,2
2065,265.75,692,444,248,0.42
2066,303.25,689,441,248,0.429
2067,7.25,0,0,0,2
2068,261.25,638,416,222,0.53
2069,42.5,3,2,1,1.993
2070,252,670,425,245,0.48
2071,237.75,664,432,232,0.472
2072,289.5,725,452,273,0.371
2073,267,712,456,256,0.376
2074,249.75,693,445,248,0.417
2075,328.75,680,431,249,0.458
2076,233.25,695,444,251,0.417
2077,16,1,0,1,1.999
2078,316.5,692,438,254,0.432
2079,315,719,450,269,0.381
2080,281.5,691,433,258,0.443
2081,249.75,692,441,251,0.426
2082,5,0,0,0,2
2083,252.75,639,414,225,0.533
2084,224.25,658,419,239,0.504
2085,87.75,4,4,0,1.988
2086,286,630,408,222,0.554
2087,35.25,1,1,0,1.997
2088,291.5,664,430,234,0.476
2089,235.75,695,451,244,0.403
2090,250.5,693,435,258,0.437
2091,47.75,2,2,0,1.994
2092,14.5,0,0,0,2
2093,14.5,0,0,0,2
2094,52.25,5,3,2,1.989
2095,13.75,0,0,0,2
2096,304.5,689,438,251,0.435
2097,284.25,689,444,245,0.423
2098,255,679,435,244,0.451
2099,248.75,704,444,260,0.408
2100,273,695,440,255,0.425
2101,246.75,724,453,271,0.37
2102,258.25,703,441,262,0.415
2103,257,682,433,249,0.452
2104,273,694,449,245,0.408
2105,13.75,0,0,0,2
2106,283.5,654,427,227,0.492
2107,255.75,717,449,268,0.385
2108,13,0,0,0,2
2109,234.75,721,452,269,0.375
2110,312.5,688,436,252,0.44
2111,249.75,666,432,234,0.47
2112,292,640,411,229,0.538
2113,17.5,1,1,0,1.997
2114,278.75,646,431,215,0.492
2115,19.25,0,0,0,2
2116,247.25,696,437,259,0.43
2117,13.75,0,0,0,2
2118,227.75,687,432,255,0.449
2119,16.5,0,0,0,2
2120,32.5,2,2,0,1.994
2121,281.25,699,442,257,0.417
2122,18.25,0,0,0,2
2123,218.5,651,415,236,0.519
2124,235.5,681,438,243,0.443
2125,311.75,706,434,272,0.426
2126,333.5,697,444,253,0.415
2127,318.75,652,418,234,0.512
2128,370,607,412,195,0.569
2129,298.75,655,421,234,0.503
2130,222,696,426,270,0.452
2131,28.75,0,0,0,2
2132,243.75,675,437,238,0.451
2133,250,705,444,261,0.407
2134,219.5,716,447,269,0.39
2135,304.75,692,446,246,0.416
2136,10.75,0,0,0,2
2137,315.25,662,430,232,0.478
2138,25.5,0,0,0,2
2139,217.25,740,459,281,0.342
2140,311.25,697,437,260,0.429
2141,252.25,669,440,229,0.451
2142,235.25,716,443,273,0.398
2143,222.25,655,429,226,0.487
2144,264.5,653,427,226,0.493
2145,202.5,696,445,251,0.414
2146,267.25,692,431,261,0.446
2147,273.5,739,458,281,0.345
2148,240.25,671,430,241,0.469
2149,9.5,0,0,0,2
2150,278,678,431,247,0.46
2151,9.25,0,0,0,2
2152,220,711,451,260,0.387
2153,11.5,0,0,0,2
2154,12.75,0,0,0,2
2155,280.5,669,430,239,0.471
2156,30.75,2,2,0,1.994
